Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords
457012,000,2021-07-22 11:00:00,A69-1602,65477,82.0,38.5,#97,0,"(33.48138,-117.734245)","(33.480447,-117.734242)"
457012,000,2021-07-22 11:00:16.521073,A69-1602,65477,82.0,38.5,#97,94.6092393494248,"(33.48138,-117.734245)","(33.480526999999995,-117.734242)"
457012,000,2021-07-22 11:00:33.036230,A69-1602,65477,82.0,38.5,#97,85.7362387243428,"(33.48138,-117.734245)","(33.48060699999999,-117.734242)"
457012,000,2021-07-22 11:00:49.545472,A69-1602,65477,82.0,38.5,#97,76.86324780222925,"(33.48138,-117.734245)","(33.48068699999999,-117.734242)"
457012,000,2021-07-22 11:01:06.048799,A69-1602,65477,82.0,38.5,#97,67.99027042515752,"(33.48138,-117.734245)","(33.480766999999986,-117.734242)"
457012,000,2021-07-22 11:01:22.546211,A69-1602,65477,82.0,38.5,#97,59.117312748506066,"(33.48138,-117.734245)","(33.48084699999998,-117.734242)"
457012,000,2021-07-22 11:01:39.037707,A69-1602,65477,82.0,38.5,#97,50.24438526356312,"(33.48138,-117.734245)","(33.48092699999998,-117.734242)"
457012,000,2021-07-22 11:01:55.523288,A69-1602,65477,82.0,38.5,#97,41.371507474294916,"(33.48138,-117.734245)","(33.48100699999998,-117.734242)"
457012,000,2021-07-22 11:02:12.002954,A69-1602,65477,82.0,38.5,#97,32.498720176349906,"(33.48138,-117.734245)","(33.481086999999974,-117.734242)"
457012,000,2021-07-22 11:02:28.476705,A69-1602,65477,82.0,38.5,#97,23.626125454428255,"(33.48138,-117.734245)","(33.48116699999997,-117.734242)"
457012,000,2021-07-22 11:02:44.944541,A69-1602,65477,82.0,38.5,#97,14.75407094151185,"(33.48138,-117.734245)","(33.48124699999997,-117.734242)"
457012,000,2021-07-22 11:03:01.406464,A69-1602,65477,82.0,38.5,#97,5.885000875689328,"(33.48138,-117.734245)","(33.481326999999965,-117.734242)"
457012,000,2021-07-22 11:03:17.866469,A69-1602,65477,82.0,38.5,#97,3.007605023837048,"(33.48138,-117.734245)","(33.48140699999996,-117.734242)"
457012,000,2021-07-22 11:03:34.332383,A69-1602,65477,82.0,38.5,#97,11.870971885734777,"(33.48138,-117.734245)","(33.48148699999996,-117.734242)"
457012,000,2021-07-22 11:03:50.804211,A69-1602,65477,82.0,38.5,#97,20.742615504510255,"(33.48138,-117.734245)","(33.481566999999956,-117.734242)"
457012,000,2021-07-22 11:04:07.281954,A69-1602,65477,82.0,38.5,#97,29.61509863892241,"(33.48138,-117.734245)","(33.48164699999995,-117.734242)"
457012,000,2021-07-22 11:04:23.765613,A69-1602,65477,82.0,38.5,#97,38.487840782331645,"(33.48138,-117.734245)","(33.48172699999995,-117.734242)"
457012,000,2021-07-22 11:04:40.255187,A69-1602,65477,82.0,38.5,#97,47.36069642738829,"(33.48138,-117.734245)","(33.48180699999995,-117.734242)"
457012,000,2021-07-22 11:04:56.750676,A69-1602,65477,82.0,38.5,#97,56.23361190036283,"(33.48138,-117.734245)","(33.481886999999944,-117.734242)"
457012,000,2021-07-22 11:05:13.252080,A69-1602,65477,82.0,38.5,#97,65.10656278667518,"(33.48138,-117.734245)","(33.48196699999994,-117.734242)"
457012,000,2021-07-22 11:05:29.759400,A69-1602,65477,82.0,38.5,#97,73.97953638876403,"(33.48138,-117.734245)","(33.48204699999994,-117.734242)"
457012,000,2021-07-22 11:05:46.272635,A69-1602,65477,82.0,38.5,#97,82.8525254428081,"(33.48138,-117.734245)","(33.482126999999934,-117.734242)"
457012,000,2021-07-22 11:06:02.791785,A69-1602,65477,82.0,38.5,#97,91.72552549988492,"(33.48138,-117.734245)","(33.48220699999993,-117.734242)"
457012,000,2021-07-22 11:06:19.316851,A69-1602,65477,82.0,38.5,#97,100.59853367624018,"(33.48138,-117.734245)","(33.48228699999993,-117.734242)"
457012,000,2021-07-22 11:06:35.847832,A69-1602,65477,82.0,38.5,#97,109.47154802629112,"(33.48138,-117.734245)","(33.482366999999925,-117.734242)"
457012,000,2021-07-22 11:06:52.384728,A69-1602,65477,82.0,38.5,#97,118.34456718941512,"(33.48138,-117.734245)","(33.48244699999992,-117.734242)"
457012,000,2021-07-22 11:07:08.927540,A69-1602,65477,82.0,38.5,#97,127.21759018046447,"(33.48138,-117.734245)","(33.48252699999992,-117.734242)"
457012,000,2021-07-22 11:07:25.476267,A69-1602,65477,82.0,38.5,#97,136.0906162742822,"(33.48138,-117.734245)","(33.482606999999916,-117.734242)"
457012,000,2021-07-22 11:07:42.030909,A69-1602,65477,82.0,38.5,#97,144.96364492089808,"(33.48138,-117.734245)","(33.48268699999991,-117.734242)"
457012,000,2021-07-22 11:07:58.591467,A69-1602,65477,82.0,38.5,#97,153.8366756982224,"(33.48138,-117.734245)","(33.48276699999991,-117.734242)"
457012,000,2021-07-22 11:08:15.157940,A69-1602,65477,82.0,38.5,#97,162.7097082774138,"(33.48138,-117.734245)","(33.48284699999991,-117.734242)"
457012,000,2021-07-22 11:08:31.730328,A69-1602,65477,82.0,38.5,#97,171.58274239815654,"(33.48138,-117.734245)","(33.482926999999904,-117.734242)"
457012,000,2021-07-22 11:08:48.308632,A69-1602,65477,82.0,38.5,#97,180.4557778478261,"(33.48138,-117.734245)","(33.4830069999999,-117.734242)"
457012,000,2021-07-22 11:09:04.892851,A69-1602,65477,82.0,38.5,#97,189.32881445476715,"(33.48138,-117.734245)","(33.4830869999999,-117.734242)"
457012,000,2021-07-22 11:09:21.482986,A69-1602,65477,82.0,38.5,#97,198.20185208159242,"(33.48138,-117.734245)","(33.483166999999895,-117.734242)"
457012,000,2021-07-22 11:09:38.079036,A69-1602,65477,82.0,38.5,#97,207.0748906113989,"(33.48138,-117.734245)","(33.48324699999989,-117.734242)"
457012,000,2021-07-22 11:09:54.681001,A69-1602,65477,82.0,38.5,#97,215.947929944946,"(33.48138,-117.734245)","(33.48332699999989,-117.734242)"
