Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords
457012,000,2021-07-22 11:00:00,A69-1602,65477,82.0,38.5,#97,0,"(33.480503,-117.733113)","(33.480447,-117.734242)"
457012,000,2021-07-22 11:00:16.458000,A69-1602,65477,82.0,38.5,#97,104.96680787343757,"(33.480503,-117.733113)","(33.480526999999995,-117.734242)"
457012,000,2021-07-22 11:00:32.916000,A69-1602,65477,82.0,38.5,#97,105.56509870847131,"(33.480503,-117.733113)","(33.48060699999999,-117.734242)"
457012,000,2021-07-22 11:00:49.374000,A69-1602,65477,82.0,38.5,#97,106.89907001193352,"(33.480503,-117.733113)","(33.48068699999999,-117.734242)"
457012,000,2021-07-22 11:01:05.832000,A69-1602,65477,82.0,38.5,#97,108.94170034423409,"(33.480503,-117.733113)","(33.480766999999986,-117.734242)"
457012,000,2021-07-22 11:01:22.290000,A69-1602,65477,82.0,38.5,#97,111.65410330203112,"(33.480503,-117.733113)","(33.48084699999998,-117.734242)"
457012,000,2021-07-22 11:01:38.748000,A69-1602,65477,82.0,38.5,#97,114.9888921042252,"(33.480503,-117.733113)","(33.48092699999998,-117.734242)"
457012,000,2021-07-22 11:01:55.206000,A69-1602,65477,82.0,38.5,#97,118.89370735550465,"(33.480503,-117.733113)","(33.48100699999998,-117.734242)"
457012,000,2021-07-22 11:02:11.664000,A69-1602,65477,82.0,38.5,#97,123.31441040984237,"(33.480503,-117.733113)","(33.481086999999974,-117.734242)"
457012,000,2021-07-22 11:02:28.122000,A69-1602,65477,82.0,38.5,#97,128.1976435500988,"(33.480503,-117.733113)","(33.48116699999997,-117.734242)"
457012,000,2021-07-22 11:02:44.580000,A69-1602,65477,82.0,38.5,#97,133.49265764574517,"(33.480503,-117.733113)","(33.48124699999997,-117.734242)"
457012,000,2021-07-22 11:03:01.038000,A69-1602,65477,82.0,38.5,#97,139.15245352338007,"(33.480503,-117.733113)","(33.481326999999965,-117.734242)"
457012,000,2021-07-22 11:03:17.496000,A69-1602,65477,82.0,38.5,#97,145.1343613582781,"(33.480503,-117.733113)","(33.48140699999996,-117.734242)"
457012,000,2021-07-22 11:03:33.954000,A69-1602,65477,82.0,38.5,#97,151.4002055084473,"(33.480503,-117.733113)","(33.48148699999996,-117.734242)"
457012,000,2021-07-22 11:03:50.412000,A69-1602,65477,82.0,38.5,#97,157.9161912844767,"(33.480503,-117.733113)","(33.481566999999956,-117.734242)"
457012,000,2021-07-22 11:04:06.870000,A69-1602,65477,82.0,38.5,#97,164.65262396592436,"(33.480503,-117.733113)","(33.48164699999995,-117.734242)"
457012,000,2021-07-22 11:04:23.328000,A69-1602,65477,82.0,38.5,#97,171.58354105715836,"(33.480503,-117.733113)","(33.48172699999995,-117.734242)"
457012,000,2021-07-22 11:04:39.786000,A69-1602,65477,82.0,38.5,#97,178.68631291778246,"(33.480503,-117.733113)","(33.48180699999995,-117.734242)"
457012,000,2021-07-22 11:04:56.244000,A69-1602,65477,82.0,38.5,#97,185.94124655904287,"(33.480503,-117.733113)","(33.481886999999944,-117.734242)"
457012,000,2021-07-22 11:05:12.702000,A69-1602,65477,82.0,38.5,#97,193.33121271848637,"(33.480503,-117.733113)","(33.48196699999994,-117.734242)"
457012,000,2021-07-22 11:05:29.160000,A69-1602,65477,82.0,38.5,#97,200.8413063809689,"(33.480503,-117.733113)","(33.48204699999994,-117.734242)"
